Timestamp,1,2,3,4,5,6,7,8,
12/21/2023 15:13:19,a. Strongly Influenced,a. Very likely,b. Funding and investment opportunities,b. Increased interest,b. Relevant,b. Multi-day workshops with varied topics,Neutral,A Game Changer For My Career,
12/21/2023 15:13:40,c. Neutral,c. Unsure,c. Marketing and branding,c. No change,c. Somewhat relevant,c. Webinars or online sessions,Unlikely,Not much aspirations,
12/21/2023 15:14:03,D. Not Interested,e. Very unlikely,d. Tech innovations in entrepreneurship,e. Significantly decreased interest,e. Not relevant at all,d. Panel discussions and Q&A sessions,Very Unlikely,Not Interested any more,
12/21/2023 15:14:28,B. Influenced,b. Likely,b. Funding and investment opportunities,b. Increased interest,b. Relevant,b. Multi-day workshops with varied topics,Likely,A Good choice in my curriculum,
12/21/2023 15:14:56,a. Strongly Influenced,a. Very likely,a. Advanced business strategies,a. Significantly increased interest,a. Highly relevant,a. One-day intensive sessions,Very Likely,A Game Changer For My Career,
12/21/2023 15:15:16,B. Influenced,b. Likely,b. Funding and investment opportunities,b. Increased interest,b. Relevant,b. Multi-day workshops with varied topics,Likely,Not much aspirations,
12/21/2023 15:15:42,c. Neutral,c. Unsure,c. Marketing and branding,c. No change,c. Somewhat relevant,b. Multi-day workshops with varied topics,Neutral,Not much aspirations,
12/21/2023 15:16:07,D. Not Interested,b. Likely,b. Funding and investment opportunities,b. Increased interest,b. Relevant,c. Webinars or online sessions,Unlikely,Not much aspirations,
12/21/2023 15:16:34,a. Strongly Influenced,b. Likely,b. Funding and investment opportunities,b. Increased interest,b. Relevant,a. One-day intensive sessions,Likely,A Good choice in my curriculum,
12/21/2023 15:17:57,a. Strongly Influenced,b. Likely,c. Marketing and branding,c. No change,b. Relevant,c. Webinars or online sessions,Neutral,A Good choice in my curriculum,
